setting,variant,seed,n,d,d_info,k_true,status,error,ARI,NMI,runtime_sec,final_K,correct_K,over_split,under_split,split_proposals,accepted_splits,rejected_splits,active_dims,feature_f1_thresh,feature_f1_topd
matched,No-StepA-FixedK,6,200,100,10,3,ok,,1.0,1.0,0.8904542640011641,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
matched,Unsafe-Split,6,200,100,10,3,ok,,0.710978787602407,0.8033742348146975,1.0382324000020162,6,0,1,0,4,4,0,19,0.6896551724137931,1.0
matched,Fixed-K,7,200,100,10,3,ok,,1.0,1.0,1.0360863280002377,3,1,0,0,0,0,0,14,0.8333333333333334,1.0
matched,Full-DIVI,7,200,100,10,3,ok,,0.9704560894579105,0.9528267554683132,0.9771655869990354,3,1,0,0,2,2,0,19,0.6896551724137931,1.0
matched,No-Gating,7,200,100,10,3,ok,,0.4662061653095783,0.5434552223599625,0.5833598760000314,2,0,0,1,1,1,0,100,,
matched,No-StepA,7,200,100,10,3,ok,,0.8363974630005692,0.8176457683933275,0.8561574560008012,3,1,0,0,2,2,0,100,0.18181818181818182,0.6
matched,No-StepA-FixedK,7,200,100,10,3,ok,,1.0,1.0,0.9162027169986686,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
matched,Unsafe-Split,7,200,100,10,3,ok,,0.700804951123528,0.7972450330884618,1.0414719639993564,6,0,1,0,4,4,0,19,0.6896551724137931,1.0
matched,Fixed-K,8,200,100,10,3,ok,,1.0,1.0,1.4640290999996068,3,1,0,0,0,0,0,18,0.7142857142857143,1.0
matched,Full-DIVI,8,200,100,10,3,ok,,0.9127857289988182,0.889911398162295,0.9714213279985415,3,1,0,0,2,2,0,12,0.9090909090909091,1.0
matched,No-Gating,8,200,100,10,3,ok,,0.47294630386584025,0.551852950335384,0.7931343680029386,2,0,0,1,1,1,0,100,,
matched,No-StepA,8,200,100,10,3,ok,,0.6282359268814851,0.6549530978047582,1.087694277997798,3,1,0,0,2,2,0,100,0.18181818181818182,0.5
matched,No-StepA-FixedK,8,200,100,10,3,ok,,1.0,1.0,1.0759564129984938,3,1,0,0,0,0,0,100,0.18181818181818182,0.8
matched,Unsafe-Split,8,200,100,10,3,ok,,0.5821428903071549,0.7646968828733647,1.3708065409991832,6,0,1,0,4,4,0,12,0.9090909090909091,1.0
matched,Fixed-K,9,200,100,10,3,ok,,0.9704606530417694,0.9590630571233186,1.0373854790013866,3,1,0,0,0,0,0,16,0.7692307692307693,1.0
