scenario,n,d,k,d_info,delta,noise_sd,seed,method,status,error,ARI,NMI,runtime_sec,final_K,active_dims,feature_f1_thresh,feature_f1_topd
high_dim_scaling,600,2000,3,10,2.0,3.0,1,DIVI-Info,ok,,0.43977473981652837,0.629335128179544,29.195314762999942,3,194.0,0.09803921568627451,1.0
high_dim_scaling,600,2000,3,10,2.0,3.0,1,K-means,ok,,0.12880855739235192,0.13799444491227164,0.3833944059999794,3,,,
high_dim_scaling,600,2000,3,10,2.0,3.0,1,diag-GMM,ok,,0.018804197329634325,0.02664759510208949,0.48870667799997136,3,,,
high_dim_scaling,600,2000,3,10,2.0,3.0,1,PCA(50)+K-means,ok,,0.3842437903263929,0.4127892954989662,0.20011735799994312,3,50.0,,
high_dim_scaling,600,2000,3,10,2.0,3.0,1,PCA(50)+diag-GMM,ok,,0.41961594180201683,0.45288765221962585,0.259608235000087,3,50.0,,
high_dim_scaling,600,2000,3,10,2.0,3.0,2,DIVI-Info,ok,,0.8587988670668274,0.8422975277639748,24.635655025999995,3,259.0,0.07434944237918216,1.0
high_dim_scaling,600,2000,3,10,2.0,3.0,2,K-means,ok,,0.266493254740099,0.2568111519177109,0.3860678139999436,3,,,
high_dim_scaling,600,2000,3,10,2.0,3.0,2,diag-GMM,ok,,0.014375357284386733,0.02119640492682197,0.3968824260000474,3,,,
high_dim_scaling,600,2000,3,10,2.0,3.0,2,PCA(50)+K-means,ok,,0.41669924282515713,0.44677404028691015,0.19883298600007038,3,50.0,,
high_dim_scaling,600,2000,3,10,2.0,3.0,2,PCA(50)+diag-GMM,ok,,0.4249454986359551,0.4453743718960181,0.2507280939998964,3,50.0,,
high_dim_scaling,600,2000,3,10,2.0,3.0,3,DIVI-Info,ok,,0.37062422315410215,0.4619195423878537,22.66929569900003,3,349.0,0.055710306406685235,1.0
high_dim_scaling,600,2000,3,10,2.0,3.0,3,K-means,ok,,0.02344733027349888,0.035328231674904204,0.567621132000113,3,,,
high_dim_scaling,600,2000,3,10,2.0,3.0,3,diag-GMM,ok,,0.037957818860931296,0.03558310369568155,0.48262540299992907,3,,,
high_dim_scaling,600,2000,3,10,2.0,3.0,3,PCA(50)+K-means,ok,,0.37296462636559186,0.3966034863227253,0.3142631390001043,3,50.0,,
high_dim_scaling,600,2000,3,10,2.0,3.0,3,PCA(50)+diag-GMM,ok,,0.40303964803125075,0.41200775447364496,0.3907489959999566,3,50.0,,
high_dim_scaling,600,2000,3,10,2.0,3.0,4,DIVI-Info,ok,,0.4191360887350771,0.5664405413831768,26.519645625000067,3,747.0,0.026420079260237782,1.0
high_dim_scaling,600,2000,3,10,2.0,3.0,4,K-means,ok,,0.3454789002986988,0.3447020304882505,0.7052696770001603,3,,,
high_dim_scaling,600,2000,3,10,2.0,3.0,4,diag-GMM,ok,,0.4100160379504317,0.434220403618876,0.9688574909998806,3,,,
high_dim_scaling,600,2000,3,10,2.0,3.0,4,PCA(50)+K-means,ok,,0.4206308881729547,0.45674235833747207,0.3256249020000723,3,50.0,,
high_dim_scaling,600,2000,3,10,2.0,3.0,4,PCA(50)+diag-GMM,ok,,0.43388687983205954,0.4716655964415682,0.45338223900012053,3,50.0,,
high_dim_scaling,600,2000,3,10,2.0,3.0,5,DIVI-Info,ok,,0.4366640334961843,0.6207765721103349,27.553296187000115,3,228.0,0.08403361344537816,1.0
high_dim_scaling,600,2000,3,10,2.0,3.0,5,K-means,ok,,0.05424247186674549,0.054859476829075215,0.4632288200000403,3,,,
high_dim_scaling,600,2000,3,10,2.0,3.0,5,diag-GMM,ok,,0.06754815537116281,0.06599247432374246,0.6509608670000944,3,,,
high_dim_scaling,600,2000,3,10,2.0,3.0,5,PCA(50)+K-means,ok,,0.37753254481669674,0.4185523231323082,0.33911111699990215,3,50.0,,
high_dim_scaling,600,2000,3,10,2.0,3.0,5,PCA(50)+diag-GMM,ok,,0.45801739977653255,0.49096673933052415,0.41751755099994625,3,50.0,,
high_dim_scaling,600,2000,3,10,2.0,3.0,6,DIVI-Info,ok,,0.42870026026867497,0.5919333850402492,27.766920360999848,3,706.0,0.027932960893854747,1.0
high_dim_scaling,600,2000,3,10,2.0,3.0,6,K-means,ok,,0.08696458968838698,0.07469453678488357,0.36740185500002553,3,,,
high_dim_scaling,600,2000,3,10,2.0,3.0,6,diag-GMM,ok,,0.046694817166620155,0.057677788491135744,0.5627306560002125,3,,,
high_dim_scaling,600,2000,3,10,2.0,3.0,6,PCA(50)+K-means,ok,,0.3866479620109903,0.41683000030840417,0.31688334900013615,3,50.0,,
high_dim_scaling,600,2000,3,10,2.0,3.0,6,PCA(50)+diag-GMM,ok,,0.47293916969052024,0.5067081162435717,0.42854445400007535,3,50.0,,
